"","pv","dpsi","qv"
"chr1:27428934-27429383:-:WASF2:l",0.0964871271996598,0.00010787179583809,0.128220671256437
"chr1:27428934-27484504:-:WASF2:l",0.824721080852332,0.00238880988144006,0.850315873016715
"chr1:27428934-27489985:-:WASF2:l",4.02169105231373e-05,0.000209380344889376,8.29300430787453e-05
"chr1:27428934-27489985:-:WASF2:r",3.78336050591165e-14,0.00328756947745368,1.16621112501813e-13
"chr1:27459122-27489985:-:WASF2:r",9.48827706463557e-09,-0.00205246471957212,2.42478191651798e-08
"chr1:27485415-27489985:-:WASF2:r",0.259215733967092,0.000500228675214508,0.306345867415655
"chr1:32742190-32744403:+:KIAA1522:l",0.702370689681821,-0.00169759499152369,0.739467733150932
"chr1:32742190-32767786:+:KIAA1522:l",0.669199623387485,0.00199489503904848,0.714609597831635
"chr1:32767958-32768061:+:KIAA1522:l",1.12762181083441e-35,0.0353773070372572,7.024144196656e-35
"chr1:32767958-32768651:+:KIAA1522:l",8.54127326633341e-34,-0.033440941654986,4.81856737100696e-33
"chr1:32742190-32767786:+:KIAA1522:r",2.37800535090467e-42,0.148009378610733,1.82313743569358e-41
"chr1:32743211-32767786:+:KIAA1522:r",0.0169986505250135,0.000626381924941078,0.0251613688464309
"chr1:32754181-32767786:+:KIAA1522:r",9.1005978390595e-44,-0.153568202581655,7.55855209410775e-43
"chr1:32767958-32768651:+:KIAA1522:r",2.01944626298267e-35,-0.0334106771813629,1.20762886526364e-34
"chr1:32768118-32768651:+:KIAA1522:r",2.01944626298267e-35,0.0334106771813629,1.20762886526364e-34
"chr10:26751784-26755654:-:ABI1:l",5.20155947762055e-101,-0.219952519790291,1.41387843982595e-99
"chr10:26751784-26759061:-:ABI1:l",1.59051125236758e-34,0.0934878205750174,9.14543970111359e-34
"chr10:26751784-26765217:-:ABI1:l",1.37114159009806e-117,0.126737370091741,6.83285559065532e-116
"chr10:26755742-26759061:-:ABI1:l",2.76361809040455e-23,-0.0421894926497902,1.16383353384642e-22
"chr10:26755742-26765217:-:ABI1:l",5.01885801189152e-24,0.0422994533370589,2.17483847181966e-23
"chr10:26759236-26763879:-:ABI1:l",0.00325445966035474,0.00208726974257557,0.00546676089014644
"chr10:26759236-26765217:-:ABI1:l",4.59093820736736e-06,0.0106833461638116,1.00933126764915e-05
"chr10:26759239-26763879:-:ABI1:l",0.216202926260132,-7.92807238358972e-05,0.262783231511299
"chr10:26759239-26765217:-:ABI1:l",3.32743014639052e-10,0.00705362324965575,9.1275377410162e-10
"chr10:26770346-26771074:-:ABI1:l",1.74110927225041e-71,-0.158440347096484,2.00227566308798e-70
"chr10:26770346-26777064:-:ABI1:l",1.35576219552271e-69,0.156107096107952,1.50138109800478e-68
"chr10:26777242-26787127:-:ABI1:l",0.234734734188473,-0.00293536930758956,0.281603551991208
"chr10:26777242-26823137:-:ABI1:l",0.285798460443636,0.00288563218717386,0.335112704598616
"chr10:26777242-26860746:-:ABI1:l",0.182359744158642,0.000123760764872924,0.224385034993556
"chr10:26751784-26759061:-:ABI1:r",8.89715697765159e-58,0.150443234924021,8.58145140747686e-57
"chr10:26751784-26765217:-:ABI1:r",7.40122108823807e-111,0.131847682154064,3.16137872197597e-109
"chr10:26755742-26759061:-:ABI1:r",1.28880671723087e-57,-0.150156630500343,1.20422877641259e-56
"chr10:26755742-26765217:-:ABI1:r",6.28114575236545e-08,0.0117497800380211,1.52688014630672e-07
"chr10:26759236-26765217:-:ABI1:r",3.74377134447477e-23,-0.0437287920259721,1.53340771506569e-22
"chr10:26759239-26765217:-:ABI1:r",1.11197439903408e-40,-0.0882313974001191,7.5563714843452e-40
"chr10:26763961-26765217:-:ABI1:r",0.278341779935578,-0.00190562603950419,0.327654300002904
"chr10:26765319-26770244:-:ABI1:r",0.0157722027873926,0.000756620889745058,0.0236979328313084
"chr10:26768993-26770244:-:ABI1:r",0.013970311945605,-0.0007645750103773,0.0210965821804843
"chr10:26770346-26777064:-:ABI1:r",3.11983748912036e-73,0.157390321397572,4.44205432974756e-72
"chr10:26771090-26777064:-:ABI1:r",6.41491807565566e-73,-0.155718155449708,8.71845683918656e-72
"chr12:54509986-54510348:+:NCKAP1L:l",2.10505216445984e-18,-0.044784122110741,7.58326020690953e-18
"chr12:54509986-54510368:+:NCKAP1L:l",6.01982042231981e-10,-0.0181023564210088,1.60707705917288e-09
"chr12:54509986-54511802:+:NCKAP1L:l",3.7669333951363e-27,0.0713424151319988,1.7327893617627e-26
"chr12:54517939-54518607:+:NCKAP1L:l",0.95638657539702,-0.00149506531789029,0.963698097640669
"chr12:54517939-54518650:+:NCKAP1L:l",5.26421026509932e-05,0.0103800671379772,0.000107808141730459
"chr12:54518733-54518913:+:NCKAP1L:l",0.401663373911431,0.00217743388794889,0.460143098848728
"chr12:54518733-54518943:+:NCKAP1L:l",0.437167838726617,-0.0018561930686222,0.498905281600223
"chr12:54526747-54528246:+:NCKAP1L:l",2.47689233486736e-17,0.0228489508819938,8.61152102471328e-17
"chr12:54526747-54531259:+:NCKAP1L:l",5.12103999542519e-17,-0.0227594461954522,1.75998960762314e-16
"chr12:54531358-54531490:+:NCKAP1L:l",0.892407294735737,0.00459196906792725,0.907584289544168
"chr12:54531358-54531493:+:NCKAP1L:l",0.892407294735737,-0.00459196906792732,0.907584289544168
"chr12:54497892-54499354:+:NCKAP1L:r",0.592833345223018,0.00288180662427806,0.639917582027735
"chr12:54498836-54499354:+:NCKAP1L:r",0.100174740525629,0.000499715601481671,0.132532068217535
"chr12:54509986-54511802:+:NCKAP1L:r",9.31791719702779e-23,0.0496474310111367,3.71474298921508e-22
"chr12:54510467-54511802:+:NCKAP1L:r",3.24822744923465e-23,-0.0496398150015665,1.34891667683494e-22
"chr12:54512106-54516895:+:NCKAP1L:r",0.141496927869445,-0.000488758210573531,0.176281589304017
"chr12:54516296-54516895:+:NCKAP1L:r",0.141496927869445,0.000488758210573592,0.176281589304017
"chr12:54528378-54531259:+:NCKAP1L:r",2.40322525796814e-20,0.0273864036008267,8.98205440165591e-20
"chr12:110436205-110436546:-:ARPC3:l",2.88295440345322e-05,0.0286008065135424,6.02799557085674e-05
"chr12:110436205-110436556:-:ARPC3:l",8.54817121874711e-73,-0.419635487174759,1.11126225843712e-71
"chr12:110436205-110436664:-:ARPC3:l",2.90833540736559e-61,0.328278113861521,2.89864095600771e-60
"chr12:110436205-110437083:-:ARPC3:l",7.5571708273444e-05,0.062499649408241,0.000150639605158398
"chr12:110435218-110436109:-:ARPC3:r",0.692204818523414,-0.00953550408886927,0.733933477796102
"chr12:110436179-110436556:-:ARPC3:r",1.19028867484049e-08,0.019966377000228,2.99072532585971e-08
"chr12:110436202-110436556:-:ARPC3:r",1.59934056436055e-133,0.632140427879095,1.02116981772873e-131
"chr12:110436205-110436556:-:ARPC3:r",1.70764183566677e-133,-0.664424849952893,1.02116981772873e-131
"chr12:110436205-110437083:-:ARPC3:r",8.07129314627725e-91,-0.0182873226674797,1.72379760766921e-89
"chr12:110436230-110436556:-:ARPC3:r",0.0644575072552215,0.0111890381532373,0.0892259012468112
"chr12:110436684-110437083:-:ARPC3:r",6.7134819906222e-90,0.0184806552515628,1.33822074346403e-88
"chr12:110437153-110445451:-:ARPC3:r",1.7795110213104e-21,0.0123783162340882,6.91004929054296e-21
"chr12:110440389-110445451:-:ARPC3:r",7.69464764393342e-93,-0.0328214835503098,1.76976895810469e-91
"chr12:110445244-110445451:-:ARPC3:r",0.0129814569127775,0.00198099581195436,0.0198033449842881
"chr13:26613059-26613436:+:WASF3:l",0.135635472170255,0.00116744569562323,0.171843246520789
"chr13:26613059-26642260:+:WASF3:l",0.0887233438545222,-0.00200868755982175,0.120037465214942
"chr13:26671990-26676548:+:WASF3:l",6.9719180187346e-53,0.373788840567578,6.13118672824014e-52
"chr13:26671990-26680034:+:WASF3:l",3.17433903554689e-50,-0.365377209914661,2.7117924903672e-49
"chr13:26671990-26681053:+:WASF3:l",0.00100985783976627,-0.00713571301452973,0.0017866715626634
"chr13:26557820-26642260:+:WASF3:r",0.464309968537405,-0.00166792249503554,0.521912333055203
"chr13:26613059-26642260:+:WASF3:r",0.0708837672060686,-0.00770497362154032,0.0973621633003515
"chr13:26642404-26665027:+:WASF3:r",0.0260096897404201,0.00114715820033373,0.0375695518472734
"chr13:26645366-26665027:+:WASF3:r",0.00561160981161812,-0.000808706388754069,0.00897257397686534
"chr13:26671990-26680034:+:WASF3:r",0.00734427663980716,0.0244128522665326,0.0116187233613881
"chr13:26671990-26681053:+:WASF3:r",0.0541981838155487,-0.00479764689423157,0.0753732881899957
"chr13:26676725-26680034:+:WASF3:r",0.00521793438708364,-0.0237357046318042,0.0084333101715568
